epoch,tr_vi_loss,tr_l1_error,tr_bce_error,te_vi_loss,te_l1_error,te_bce_error,arch_str,lr,q_sigma,n_mc_samples
0,0.70462938,0.49971086,0.69557375,0.70437369,0.49958330,0.69531858,[512],0.00500000,0.10000000,5
1,0.40869606,0.26348007,0.39768976,0.40804356,0.26411331,0.39705992,[512],0.00500000,0.10000000,5
2,0.38334719,0.24770798,0.37125036,0.38364619,0.24945684,0.37170887,[512],0.00500000,0.10000000,5
3,0.37319609,0.24153213,0.36075142,0.37401175,0.24309723,0.36172536,[512],0.00500000,0.10000000,5
4,0.36604422,0.23553917,0.35302925,0.36774828,0.23760422,0.35490462,[512],0.00500000,0.10000000,5
10,0.35280269,0.22365437,0.33922324,0.35677947,0.22692850,0.34349737,[512],0.00500000,0.10000000,5
20,0.34174044,0.21619318,0.32727906,0.35011981,0.22110431,0.33599538,[512],0.00500000,0.10000000,5
30,0.33424728,0.21069868,0.31944266,0.34695637,0.21727596,0.33253238,[512],0.00500000,0.10000000,5
40,0.33139406,0.20810257,0.31639901,0.34709528,0.21580304,0.33250543,[512],0.00500000,0.10000000,5
50,0.32721156,0.20509766,0.31176206,0.34639069,0.21389087,0.33143625,[512],0.00500000,0.10000000,5
60,0.32692891,0.20260720,0.31126899,0.34827744,0.21198095,0.33312237,[512],0.00500000,0.10000000,5
70,0.32326013,0.20133349,0.30762887,0.34671025,0.21152690,0.33155656,[512],0.00500000,0.10000000,5
80,0.32196134,0.20163064,0.30636042,0.34760341,0.21249507,0.33246982,[512],0.00500000,0.10000000,5
90,0.32030581,0.19910112,0.30436280,0.34784319,0.21054992,0.33240151,[512],0.00500000,0.10000000,5
100,0.31923812,0.19986700,0.30348343,0.34843416,0.21197784,0.33318070,[512],0.00500000,0.10000000,5
110,0.31852947,0.19878221,0.30263662,0.34917078,0.21124205,0.33374521,[512],0.00500000,0.10000000,5
120,0.31794284,0.19717067,0.30199459,0.34955591,0.20974913,0.33406886,[512],0.00500000,0.10000000,5
130,0.31894456,0.19751890,0.30265281,0.35049450,0.21013081,0.33473697,[512],0.00500000,0.10000000,5
140,0.31721291,0.19695212,0.30100501,0.35048209,0.21010226,0.33479908,[512],0.00500000,0.10000000,5
150,0.31696747,0.19704089,0.30082625,0.35183053,0.21076465,0.33617365,[512],0.00500000,0.10000000,5
160,0.31745241,0.19687830,0.30118251,0.35306069,0.21074000,0.33730987,[512],0.00500000,0.10000000,5
170,0.31525006,0.19533308,0.29904500,0.35238538,0.20973882,0.33665380,[512],0.00500000,0.10000000,5
180,0.31467256,0.19539760,0.29845974,0.35328309,0.21016239,0.33752644,[512],0.00500000,0.10000000,5
190,0.31383587,0.19473939,0.29748762,0.35329544,0.20967904,0.33742628,[512],0.00500000,0.10000000,5
200,0.31316753,0.19470528,0.29676804,0.35320784,0.21000728,0.33729792,[512],0.00500000,0.10000000,5
